word,StackTrain,MoocReactive
fli,6.978823833679337e-05,9.672797219266475e-05
dima,3.824656498908333e-06,0.0
icon,1.065484084361253e-05,2.9535668857680932e-05
content-bas,1.8261928095789047e-05,0.0
within,0.00041383642904440867,0.0005609519769329473
skinni,3.824656498908333e-06,0.0
whittl,3.824656498908333e-06,0.0
multi-imag,3.824656498908333e-06,0.0
tiau,3.824656498908333e-06,0.0
ucl,7.447768988576066e-06,0.0
welsh,3.824656498908333e-06,0.0
parsimoni,3.824656498908333e-06,0.0
div,7.447768988576066e-06,0.0
rabin,1.7984633915175766e-05,0.0
iend,3.824656498908333e-06,0.0
outstand,3.341030996713505e-06,0.0003056288083649848
sinuisoid,3.824656498908333e-06,0.0
inpaint,6.718898745901821e-05,0.0
sub-second,3.824656498908333e-06,0.0
unfortunatelli,3.824656498908333e-06,0.0
sett,3.824656498908333e-06,0.0
thorlab,3.824656498908333e-06,0.0
avanc,3.824656498908333e-06,0.0
luf,3.824656498908333e-06,0.0
winamp,3.824656498908333e-06,0.0
momentarili,3.824656498908333e-06,0.0
siglib,1.11716534828641e-05,0.0
morgan,3.824656498908333e-06,0.0
valimaki,3.824656498908333e-06,0.0
downscal,6.0470088713116384e-05,0.0
junction,3.824656498908333e-06,0.0
multidimension,4.452052674270018e-05,0.0
semicircular,3.824656498908333e-06,0.0
sythesi,3.824656498908333e-06,0.0
evolv,3.252385023534105e-05,2.7047245978443306e-05
login,1.1473969496725e-05,0.0
immunofluoresc,3.824656498908333e-06,0.0
model-spars,3.824656498908333e-06,0.0
floodfil,1.11716534828641e-05,0.0
sw,3.824656498908333e-06,0.0
aicbic,3.824656498908333e-06,0.0
pwelch,2.107981125878418e-05,0.0
shift,0.0018173459766609168,0.0
el,7.103227229075018e-06,0.00014767834428840466
deltasumm,3.824656498908333e-06,0.0
autoregress,1.7984633915175766e-05,0.0
kindl,3.824656498908333e-06,0.0
wow,7.447768988576066e-06,0.0
multi-ton,7.447768988576066e-06,0.0
lcss,3.824656498908333e-06,0.0
wharev,3.824656498908333e-06,0.0
pseudo-grayscal,3.824656498908333e-06,0.0
vein,6.164380625912333e-05,0.0
recent,0.0002867439771475454,6.387319415455923e-05
prony-typ,3.824656498908333e-06,0.0
resconstruct,3.824656498908333e-06,0.0
forgot,3.717277008265683e-05,0.0
sine,0.0014289552151209254,0.0
lmd,7.649312997816666e-06,0.0
featur,0.0015572103316592453,0.00014641912807277763
rrw,3.824656498908333e-06,0.0
chl,3.824656498908333e-06,0.0
x-point,3.824656498908333e-06,0.0
spectroscop,3.824656498908333e-06,0.0
protein,2.130968168722506e-05,0.0
blue,0.00043790311646839007,0.0
rad,1.4895537977152132e-05,0.0
dependend,7.447768988576066e-06,0.0
briefli,5.268442494478535e-05,0.0
telephoni,3.824656498908333e-06,0.0
made,0.00043194258676269566,0.0003352616665714289
