word,StackTrain,MoocReactive
egc,1.915272552110024e-05,0.0
rosetta,3.8305451042200474e-06,0.0
pseudocod,6.169712839454606e-05,2.5641639295326794e-05
seismogram,2.1948053932971987e-05,0.0
enlighten,3.7230002875045465e-05,0.0
convolution-bas,7.459235893391981e-06,0.0
code,0.0015982947581615265,0.0038811433579656078
danielson-lanczo,7.661090208440095e-06,0.0
programming-rel,3.8305451042200474e-06,0.0
disc,7.459235893391981e-06,0.0
ycrcb,7.459235893391981e-06,0.0
reflector,3.8305451042200474e-06,0.0
frequenct,3.8305451042200474e-06,0.0
revolut,2.11122666410084e-05,0.0
hum,4.493001075914716e-05,0.0
viewpoint,5.688497485453696e-05,0.0
clasroom,3.8305451042200474e-06,0.0
demix,3.8305451042200474e-06,0.0
split,0.000374298729604446,8.133879701656441e-05
sell,3.8305451042200474e-06,0.0
undeflow,3.8305451042200474e-06,0.0
world-fram,3.8305451042200474e-06,0.0
telemetri,7.661090208440095e-06,0.0
detectin,3.8305451042200474e-06,0.0
pauli,7.661090208440095e-06,0.0
rolling-bal,3.8305451042200474e-06,0.0
todd,3.8305451042200474e-06,0.0
over-al,3.8305451042200474e-06,0.0
sparc,3.8305451042200474e-06,0.0
alp,3.8305451042200474e-06,0.0
invfreqz,3.8305451042200474e-06,0.0
paraboloid,7.661090208440095e-06,0.0
cpu-usag,3.8305451042200474e-06,0.0
discontinu,0.00024705545102376774,0.0
finchtv,3.8305451042200474e-06,0.0
conting,3.8305451042200474e-06,0.0
american,1.4409859063605803e-05,0.0
hypergeometr,7.661090208440095e-06,0.0
blackish,3.8305451042200474e-06,0.0
alter,0.00011300276394867445,8.945623141538721e-05
scribbl,3.8305451042200474e-06,0.0
tracker,3.242218289311306e-05,0.0
inextendedmin,3.8305451042200474e-06,0.0
imiganiri,3.8305451042200474e-06,0.0
laplac,8.993626881461158e-05,0.0
thread,6.447701614929955e-05,0.001293647056273037
parlanc,3.8305451042200474e-06,0.0
so,7.207505261697969e-05,0.00011981902882596165
necklac,3.8305451042200474e-06,0.0
wharev,3.8305451042200474e-06,0.0
avoid,0.0003043045641425258,0.0003785512143422579
behind,0.0003615372794971761,0.00021855523773600232
dna,2.4899572819132253e-05,0.0
