word,StackTrain,StackTest
solder,4.648929228351263e-06,0.0
mecklenbräuk,9.297858456702526e-06,0.0
thefouriertransform,4.648929228351263e-06,0.0
freak,8.656086296133306e-06,1.7497715741465772e-05
white-on-black,9.297858456702526e-06,0.0
insert-other-shape-her,4.648929228351263e-06,0.0
chair,1.3339417958378352e-05,0.0
roman,4.648929228351263e-06,0.0
herebelow,4.648929228351263e-06,0.0
divis,0.00014576487316507523,0.00016300020424538897
trough,7.035635388719806e-05,2.9941220153210783e-05
vibrato,4.668417684957735e-05,0.0
persuad,4.648929228351263e-06,0.0
quadtre,4.648929228351263e-06,0.0
gaussian-ish,4.648929228351263e-06,0.0
conson,5.9645745630132956e-05,1.607599965340838e-05
bifurc,9.060999447250266e-06,0.0
dspguid,3.830115044737098e-05,3.096931431464975e-05
koeffici,4.648929228351263e-06,0.0
de-amplif,4.648929228351263e-06,0.0
damp,0.00016891432867402204,0.0001229217605285176
cdot,0.0001312206403862925,4.822799896022514e-05
pseudo-data,9.297858456702526e-06,0.0
layman,4.0927407635303364e-05,4.512659670923947e-05
rehears,4.648929228351263e-06,0.0
evolv,3.9763830420088635e-05,1.607599965340838e-05
abitrari,4.648929228351263e-06,0.0
stereo,0.00030347692131382276,0.00024057210522073172
vhf,1.3591499170875403e-05,0.0
opaqu,1.3339417958378352e-05,0.0
prove,0.0003575390090245496,0.0002657139206640359
appriaci,4.648929228351263e-06,0.0
freqz,4.990833803952548e-05,7.760496996597437e-05
pair,0.0003569053776033485,0.0004641567398044751
curpwmod,4.648929228351263e-06,0.0
suspicion,1.2732048231702914e-05,1.7158005218785504e-05
pichenettl,4.648929228351263e-06,0.0
publicali,4.648929228351263e-06,0.0
eod,4.648929228351263e-06,0.0
nyquist-sampl,4.648929228351263e-06,0.0
done,0.0008171458189434631,0.0008618124275473993
pre-matched-filt,4.648929228351263e-06,0.0
set-up,8.656086296133306e-06,1.7497715741465772e-05
empir,9.759616230917191e-05,8.163488179640803e-05
bascial,4.648929228351263e-06,0.0
coeffeci,4.648929228351263e-06,0.0
my,1.3339417958378352e-05,0.0
quasiperiod,9.060999447250266e-06,0.0
mvn,4.648929228351263e-06,0.0
electron,0.00011578252956168652,0.0001690338410471438
laurent,9.060999447250266e-06,0.0
appi,9.060999447250266e-06,0.0
whiteboard,9.297858456702526e-06,0.0
rampil,4.648929228351263e-06,0.0
thick,9.950534897978487e-05,5.746959840537327e-05
noise-band,1.8595716913405052e-05,0.0
cityscap,4.648929228351263e-06,0.0
theorem,0.00037447437941967723,0.0003861083671491291
sidestick,4.648929228351263e-06,0.0
remark,4.652524233072589e-05,8.68133103741394e-05
numfram,1.3946787685053791e-05,0.0
popular,7.781548405395873e-05,5.719961544153185e-05
designnew,4.648929228351263e-06,0.0
circumfer,9.297858456702526e-06,0.0
pre-filt,3.713027915257357e-05,1.6679210128670456e-05
unflip,4.648929228351263e-06,0.0
boron,4.648929228351263e-06,0.0
canal,1.3339417958378352e-05,0.0
rewritten,1.9289767686413667e-05,6.238881825317331e-05
electrooculograph,4.648929228351263e-06,0.0
time-divis,4.648929228351263e-06,0.0
libsvmformat,4.648929228351263e-06,0.0
accelert,4.648929228351263e-06,0.0
supsici,4.648929228351263e-06,0.0
signal-delay,9.297858456702526e-06,0.0
rxi,1.3591499170875403e-05,0.0
quadrophon,4.648929228351263e-06,0.0
rule,0.00020909168277020193,0.00020287931726292776
dbf,3.578744737807978e-05,0.00019291199584090056
klangfreund,4.648929228351263e-06,0.0
arrow,6.050114192367522e-05,3.057478135030377e-05
quantum,3.233247601340659e-05,1.633949960599019e-05
reminisc,4.648929228351263e-06,0.0
gentl,4.244016077234304e-06,5.147401565635651e-05
ssrt,4.648929228351263e-06,0.0
out-of-bound,4.648929228351263e-06,0.0
rout,2.687372048282141e-05,6.208397597277949e-05
edu,3.962468308331593e-05,7.281701906482385e-05
m-file,9.060999447250266e-06,0.0
baird,4.648929228351263e-06,0.0
morphological-oper,3.627658469178618e-05,8.799690926717734e-05
segreg,4.648929228351263e-06,0.0
tight,6.172725659652373e-05,3.1194409126586653e-05
line-walking-and-map,4.446472652792783e-06,1.797651083158082e-05
trim,2.8563932351179667e-05,9.898308410138057e-05
plea,4.648929228351263e-06,0.0
precondit,4.446472652792783e-06,1.797651083158082e-05
aalto,4.648929228351263e-06,0.0
root-sum-of-squar,4.648929228351263e-06,0.0
re-classifi,4.648929228351263e-06,0.0
bough,4.648929228351263e-06,0.0
finicki,4.648929228351263e-06,0.0
request,9.267265629996454e-05,8.028503585973244e-05
histori,0.00013375678930270456,0.00012479107128385045
talki,4.648929228351263e-06,0.0
wrote,0.00020470201289815378,0.00020130412476194895
emcompass,4.648929228351263e-06,0.0
obama,4.648929228351263e-06,0.0
meausr,9.060999447250266e-06,0.0
terminolog,0.00015369404184823826,4.052380622716193e-05
dialogu,4.648929228351263e-06,0.0
tunabl,2.5968258888399924e-05,0.0
mspaint,4.648929228351263e-06,0.0
jr,4.648929228351263e-06,0.0
roc,0.00023147406722258054,0.00020053276262428787
furthur,4.648929228351263e-06,0.0
quiet,3.9286168799810944e-05,0.00010107291899472424
maxima,0.00016054109517269334,0.0001947140325583554
sturct,4.648929228351263e-06,0.0
playabl,9.060999447250266e-06,0.0
redistribut,4.648929228351263e-06,0.0
artifact,0.0003130791352505011,0.0002997801092722631
sound,0.0016615425591253198,0.0016264572180310758
walsh-hadamard,5.257555431750988e-05,0.0
discrimin,0.00013235682703741225,0.0001097643986610854
config,4.648929228351263e-06,0.0
lgm,4.648929228351263e-06,0.0
section,0.0004374624325159932,0.0005362256015437229
main-lobe-width,4.648929228351263e-06,0.0
mung,4.648929228351263e-06,0.0
famou,4.8888597085218626e-05,8.470724649165563e-05
tuft,4.648929228351263e-06,0.0
mult-path,4.648929228351263e-06,0.0
deconv,1.7312172592266613e-05,1.7497715741465772e-05
dictionnari,4.648929228351263e-06,0.0
eigenvalu,0.00025134155288258767,0.00019293820640233446
sd,2.5698110040076308e-05,0.0
venetsanopoulo,4.648929228351263e-06,0.0
isosurfac,4.648929228351263e-06,0.0
immov,4.648929228351263e-06,0.0
pune,4.648929228351263e-06,0.0
disconnect,2.8563932351179667e-05,1.649718068356343e-05
z-tranform,1.3946787685053791e-05,0.0
fuzzi,4.979149558158227e-05,6.19386286292995e-05
embed,0.00018095036314924557,0.00018878936571182264
lanczo,8.120820225682425e-06,8.207855088044323e-05
soundsc,9.060999447250266e-06,0.0
intend,0.0001181288821096971,6.633051555027204e-05
r-squar,4.648929228351263e-06,0.0
mcgraw-hil,4.648929228351263e-06,0.0
mediafir,4.648929228351263e-06,0.0
tiau,4.648929228351263e-06,0.0
motion,0.00034670311065219337,0.0007693407429182458
dust,1.7785890611171132e-05,0.0
unmodifi,4.446472652792783e-06,1.797651083158082e-05
josh,4.648929228351263e-06,0.0
came,0.0003410924713503646,0.00031075887659169453
bexc,1.3946787685053791e-05,0.0
gage,4.648929228351263e-06,0.0
overdr,9.060999447250266e-06,0.0
successor,4.648929228351263e-06,0.0
downshift,4.648929228351263e-06,0.0
counti,9.297858456702526e-06,0.0
zero-ord,3.300469258006539e-05,1.6679210128670456e-05
curtain,4.648929228351263e-06,0.0
misus,4.446472652792783e-06,1.797651083158082e-05
clean,0.0002492981961333409,0.00013901795789150232
arma,5.884694995424542e-05,4.758211354762542e-05
x-posit,9.060999447250266e-06,0.0
purpos,0.00047490253623367685,0.0004335414345202287
iphon,0.00011220138979919817,5.6701953900943753e-05
tremend,8.656086296133306e-06,1.7497715741465772e-05
server-sid,8.656086296133306e-06,1.7497715741465772e-05
shorter,0.00011671138085038754,8.088838948552588e-05
opecv,4.648929228351263e-06,0.0
intro,2.3467239494051416e-05,6.324999880330627e-05
manufactur,2.6690501104601587e-05,6.166070047274523e-05
lapac,9.060999447250266e-06,0.0
hostingp,4.648929228351263e-06,0.0
untransform,4.648929228351263e-06,0.0
summari,4.537585644275642e-05,3.057478135030377e-05
wname,8.656086296133306e-06,1.7497715741465772e-05
increasi,4.648929228351263e-06,0.0
rokhlin,1.3946787685053791e-05,0.0
fa,1.8121998894500533e-05,0.0
darker,7.577816741517656e-05,1.5318063931874912e-05
eng,2.003578533891022e-05,4.860124511566621e-05
rosenfeld,9.297858456702526e-06,0.0
computer-bas,1.3339417958378352e-05,0.0
saw,0.00021769748875909462,0.00022003066083335835
kindof,4.648929228351263e-06,0.0
luminos,1.3339417958378352e-05,1.797651083158082e-05
sum-to-product,4.648929228351263e-06,0.0
gnuplot,8.419227286681047e-06,3.4037841302701434e-05
bi-laplac,4.648929228351263e-06,0.0
tevion,4.648929228351263e-06,0.0
re-creat,4.648929228351263e-06,0.0
re-explain,4.648929228351263e-06,0.0
overcom,5.179560579248661e-05,9.772135336391888e-05
mother,2.6417485265152688e-05,9.154496424367838e-05
sub-sequ,3.254250459845884e-05,0.0
cpu-effci,4.648929228351263e-06,0.0
account,0.00027841284633819155,0.00023810492965339823
ding,4.648929228351263e-06,0.0
fmindex,4.648929228351263e-06,0.0
lead-byt,4.648929228351263e-06,0.0
yp,4.648929228351263e-06,0.0
gavabdb,1.3946787685053791e-05,0.0
fec,2.287757237537279e-05,0.00010790622582730416
speaker,0.0004767949426618411,0.0005218418684819203
these,1.752518477250329e-05,0.0
sensor,0.0007772934278034235,0.000708977816919165
houmogen,4.648929228351263e-06,0.0
spike-train,4.446472652792783e-06,1.797651083158082e-05
non-recurr,4.648929228351263e-06,0.0
div,1.7785890611171132e-05,0.0
dirchlet,9.297858456702526e-06,0.0
pendent,4.648929228351263e-06,0.0
daili,2.4753519435049045e-05,1.6679210128670456e-05
sharpli,2.003578533891022e-05,3.24008300771108e-05
nowaday,1.2376759717524523e-05,5.0037630386011365e-05
denois,0.0002178085739256309,0.0004289964917477733
choos,0.0005473108394061615,0.0006382807400919097
oppenheim-schaf,1.2732048231702914e-05,1.7158005218785504e-05
ear,9.740866207460083e-05,0.0001837782595966747
beep,8.919641934460245e-05,6.271470028307245e-05
respiratori,4.446472652792783e-06,1.797651083158082e-05
nutal,9.060999447250266e-06,0.0
editor,2.5698110040076308e-05,0.0
drift,0.0001506959247035581,0.0002119109673035547
tiu,2.7893575370107582e-05,0.0
clover,4.648929228351263e-06,0.0
compressively-sampl,4.648929228351263e-06,0.0
diamond,9.060999447250266e-06,0.0
flite,9.297858456702526e-06,0.0
redund,0.00014257769162179297,8.043112606493513e-05
tosh,4.648929228351263e-06,0.0
intmat,4.648929228351263e-06,0.0
paramt,4.446472652792783e-06,1.797651083158082e-05
trajectori,3.4624345184533225e-05,0.0
realis,8.000446358962409e-05,8.437764641560489e-05
snap,2.1640215740333272e-05,0.0
mode,0.00027033346000130207,0.00010049866957728075
frequency-domain,0.0011096960616164568,0.0010183318045354725
discreet,4.446472652792783e-06,1.797651083158082e-05
dsb,9.060999447250266e-06,0.0
trend,0.00015366341782331608,0.00017183267783507587
tof,1.6976064308937215e-05,5.147401565635651e-05
functin,4.648929228351263e-06,0.0
incompar,4.648929228351263e-06,0.0
non-casu,4.648929228351263e-06,0.0
aa,1.3946787685053791e-05,0.0
folk,4.209613643340524e-05,0.0
sadli,4.178839617567343e-05,0.0
pre-envelop,4.648929228351263e-06,0.0
outdoor,3.3676909146724186e-05,0.0
margin,4.82137500881845e-05,0.00011995195270425003
remez-exchang,4.648929228351263e-06,0.0
naudio,1.9615649984748473e-05,4.758211354762542e-05
gloh,9.060999447250266e-06,0.0
songifi,1.2984129444199962e-05,1.7497715741465772e-05
dbm,6.870651152848902e-05,3.267899921198038e-05
bit-depth,4.648929228351263e-06,0.0
non-stationari,7.375608031170147e-05,0.00014199344922750725
postprocess,4.328043148066653e-06,3.4995431482931544e-05
k-th,9.060999447250266e-06,0.0
itu-r,1.7785890611171132e-05,0.0
lth,4.446472652792783e-06,3.595302166316164e-05
uneasi,4.648929228351263e-06,0.0
gramian,8.656086296133306e-06,6.999086296586309e-05
sub-array,4.648929228351263e-06,0.0
polylogarithm,9.297858456702526e-06,0.0
signa,4.648929228351263e-06,0.0
forum,0.00018624559838606604,0.0001529463690099121
buoy,3.1713498065375936e-05,0.0
z-gener,4.648929228351263e-06,0.0
ect,4.648929228351263e-06,0.0
strong,0.00018381761009054147,0.0001829294027654771
name,0.0003562543788291178,0.0005237418674734998
roi,0.00013628516821761322,5.7998233276318377e-05
thught,4.648929228351263e-06,0.0
run-of-the-mil,4.648929228351263e-06,0.0
unsuccess,1.752518477250329e-05,0.0
held,3.233247601340659e-05,1.633949960599019e-05
ihdr,4.648929228351263e-06,0.0
tha,9.060999447250266e-06,0.0
panda,2.3244646141756317e-05,0.0
occat,4.648929228351263e-06,0.0
force-tim,4.648929228351263e-06,0.0
grc,4.446472652792783e-06,1.797651083158082e-05
medicin,4.648929228351263e-06,0.0
timevec,4.648929228351263e-06,0.0
purpl,3.6064413610038396e-05,1.62004150385554e-05
remain,0.0002609352156050628,0.0003144494393781575
single-sid,4.648929228351263e-06,0.0
fdct,4.648929228351263e-06,0.0
lk,9.297858456702526e-06,0.0
suffer,8.706380326028685e-05,4.399845463358867e-05
forget,6.731143258601888e-05,3.0236818946356553e-05
muck,4.648929228351263e-06,0.0
shuldd,4.648929228351263e-06,0.0
click,0.00020828793732044924,0.00020109398214694605
image-array,9.297858456702526e-06,0.0
dyanam,4.648929228351263e-06,0.0
buidl,4.648929228351263e-06,0.0
cmo,4.445715451843407e-05,4.901849881797057e-05
scandepth,4.648929228351263e-06,0.0
probabilist,1.752518477250329e-05,0.0
immedi,0.0001053307458984477,5.4946904670536473e-05
recon,4.648929228351263e-06,0.0
contagi,9.297858456702526e-06,0.0
rohd,4.648929228351263e-06,0.0
x-index,4.648929228351263e-06,0.0
wavet,7.639228939021749e-05,0.0
consumpt,2.1906480965629116e-05,0.0
idf,4.648929228351263e-06,0.0
fabric,2.628777715875494e-05,0.0
dice,1.752518477250329e-05,0.0
magnifi,8.419227286681047e-06,3.4037841302701434e-05
cheek,9.297858456702526e-06,0.0
an,3.499854806750323e-05,3.1443239896880705e-05
multiple-integ,4.648929228351263e-06,0.0
monitor,0.00011097671329517496,7.010381614482273e-05
optic,0.00019397077943178568,0.0001244759749725909
load,0.00017460884518490343,0.00018256573952315797
seismic,5.9530774742259435e-05,6.016879561231928e-05
cheyshev,4.648929228351263e-06,0.0
uregina,4.648929228351263e-06,0.0
topograph,4.648929228351263e-06,0.0
nonid,1.8595716913405052e-05,0.0
xy,2.628777715875494e-05,0.0
zhi,4.648929228351263e-06,0.0
reali,4.446472652792783e-06,1.797651083158082e-05
tippex,4.648929228351263e-06,0.0
omega,3.0077405473357025e-05,0.0001367989198258776
ddot,3.7191433826810105e-05,0.0
non-rep,9.060999447250266e-06,0.0
predominantli,4.648929228351263e-06,0.0
cpu-bas,4.648929228351263e-06,0.0
pardon,1.671535847026937e-05,1.6894505266203695e-05
domaim,4.648929228351263e-06,0.0
tcm,1.8595716913405052e-05,0.0
accumul,0.00011844969000592444,9.859226105994807e-05
pre-echo,4.648929228351263e-06,0.0
outward,9.060999447250266e-06,0.0
well-identifi,4.648929228351263e-06,0.0
band-pass,0.00012926874256242839,0.00030881897057500403
multitap,3.6725055880088146e-05,1.649718068356343e-05
matlab,0.0021475489031419566,0.002197881173809446
kit,5.849626312433748e-05,1.5766185765266936e-05
coplanar,4.648929228351263e-06,0.0
rf,0.00021419779112015144,0.0002886579402629491
linearzi,4.648929228351263e-06,0.0
arithmet,0.00016776888974267114,6.649684401240312e-05
boil,4.679701049946999e-05,1.5766185765266936e-05
intract,4.648929228351263e-06,0.0
harbourfront,4.648929228351263e-06,0.0
benign,9.060999447250266e-06,0.0
tightli,1.2984129444199962e-05,1.7497715741465772e-05
dislik,9.060999447250266e-06,0.0
titl,0.0001279729556188385,6.633051555027204e-05
pyrextract,4.648929228351263e-06,0.0
hand-tun,4.648929228351263e-06,0.0
floating-point,5.1396220080152616e-05,0.0
thermographi,4.648929228351263e-06,0.0
reli,0.00013028180123630543,1.4630899553925129e-05
statistician,1.7785890611171132e-05,0.0
photograpi,4.648929228351263e-06,0.0
envelop,0.0005018649066756333,0.0005980135569518726
seg,1.3591499170875403e-05,0.0
crate,4.648929228351263e-06,0.0
well,0.0010126063254074598,0.0009377664762900091
stephen,1.752518477250329e-05,0.0
