word,StackTrain,MoocReactive
solder,3.845130385262637e-06,0.0
mecklenbräuk,7.690260770525274e-06,0.0
thefouriertransform,3.845130385262637e-06,0.0
freak,7.487637869849127e-06,0.0
white-on-black,7.690260770525274e-06,0.0
insert-other-shape-her,3.845130385262637e-06,0.0
chair,1.1015811950899524e-05,0.0
roman,3.845130385262637e-06,0.0
herebelow,3.845130385262637e-06,0.0
divis,0.00013740023847511287,2.4176384252864533e-05
trough,6.289766122818792e-05,0.0
vibrato,3.848618673537416e-05,0.0
persuad,3.845130385262637e-06,0.0
quadtre,3.845130385262637e-06,0.0
gaussian-ish,3.845130385262637e-06,0.0
conson,5.164482801219164e-05,0.0
bifurc,7.487637869849127e-06,0.0
dspguid,3.419173876966328e-05,0.0
koeffici,3.845130385262637e-06,0.0
de-amplif,3.845130385262637e-06,0.0
damp,0.00015801454968107504,0.0
cdot,0.0001136186216268216,0.0
pseudo-data,7.690260770525274e-06,0.0
layman,3.737176078165536e-05,0.0
rehears,3.845130385262637e-06,0.0
evolv,3.26979546584998e-05,2.7040972613552978e-05
abitrari,3.845130385262637e-06,0.0
stereo,0.0003072780432641441,0.0
vhf,1.1231456804773691e-05,0.0
opaqu,1.0496232746011136e-05,2.8934362530693668e-05
prove,0.00035405547417412107,4.305901807662351e-05
appriaci,3.845130385262637e-06,0.0
freqz,4.548367523271492e-05,0.0
pair,0.00031369721036041245,0.0004898240494596518
curpwmod,3.845130385262637e-06,0.0
suspicion,1.0496232746011136e-05,2.8934362530693668e-05
pichenettl,3.845130385262637e-06,0.0
publicali,3.845130385262637e-06,0.0
eod,3.845130385262637e-06,0.0
nyquist-sampl,3.845130385262637e-06,0.0
done,0.000709031269026255,0.0008133824197728805
pre-matched-filt,3.845130385262637e-06,0.0
set-up,7.487637869849127e-06,0.0
empir,9.264948703202854e-05,0.0
bascial,3.845130385262637e-06,0.0
coeffeci,3.845130385262637e-06,0.0
my,9.80938639754994e-06,0.00010816389045421191
quasiperiod,7.487637869849127e-06,0.0
mvn,3.845130385262637e-06,0.0
electron,0.0001140654245584286,0.0
laurent,7.487637869849127e-06,0.0
appi,7.487637869849127e-06,0.0
whiteboard,7.690260770525274e-06,0.0
rampil,3.845130385262637e-06,0.0
thick,9.269129023101378e-05,0.0
noise-band,1.538052154105055e-05,0.0
cityscap,3.845130385262637e-06,0.0
theorem,0.00042476146710366684,0.0
sidestick,3.845130385262637e-06,0.0
remark,4.0338069539232966e-05,5.1321988465743e-05
numfram,1.1535391155787914e-05,0.0
popular,7.251466965587309e-05,0.0
designnew,3.845130385262637e-06,0.0
circumfer,7.690260770525274e-06,0.0
pre-filt,3.213563279965591e-05,0.0
unflip,3.845130385262637e-06,0.0
boron,3.845130385262637e-06,0.0
canal,1.1015811950899524e-05,0.0
rewritten,1.6987163991661527e-05,2.8096524145191158e-05
electrooculograph,3.845130385262637e-06,0.0
time-divis,3.845130385262637e-06,0.0
libsvmformat,3.845130385262637e-06,0.0
accelert,3.845130385262637e-06,0.0
supsici,3.845130385262637e-06,0.0
signal-delay,7.690260770525274e-06,0.0
rxi,1.1231456804773691e-05,0.0
quadrophon,3.845130385262637e-06,0.0
rule,0.00018197115422580838,0.00016052142055631883
dbf,3.254563442198015e-05,0.0
klangfreund,3.845130385262637e-06,0.0
arrow,4.9646854817517496e-05,5.1321988465743e-05
quantum,2.7989953989363027e-05,0.0
reminisc,3.845130385262637e-06,0.0
