word,StackTrain,MoocDsp
fli,7.583598839029887e-05,0.0
dima,3.7912198015891203e-06,0.0
icon,1.1040114234783856e-05,0.0
content-bas,1.8005766950841365e-05,0.0
within,0.0005356648740368331,0.00013094503984004588
skinni,3.7912198015891203e-06,0.0
whittl,3.7912198015891203e-06,0.0
multi-imag,3.7912198015891203e-06,0.0
tiau,3.7912198015891203e-06,0.0
ucl,7.36007615652257e-06,0.0
welsh,3.7912198015891203e-06,0.0
parsimoni,3.7912198015891203e-06,0.0
div,7.36007615652257e-06,0.0
rabin,1.7699828362187408e-05,0.0
iend,3.7912198015891203e-06,0.0
outstand,3.7912198015891203e-06,0.0
sinuisoid,3.7912198015891203e-06,0.0
inpaint,6.555913830207436e-05,0.0
sub-second,3.7912198015891203e-06,0.0
unfortunatelli,3.7912198015891203e-06,0.0
sett,3.7912198015891203e-06,0.0
thorlab,3.7912198015891203e-06,0.0
avanc,3.7912198015891203e-06,0.0
luf,3.7912198015891203e-06,0.0
winamp,3.7912198015891203e-06,0.0
momentarili,3.7912198015891203e-06,0.0
siglib,1.1040114234783856e-05,0.0
morgan,3.7912198015891203e-06,0.0
valimaki,3.7912198015891203e-06,0.0
downscal,5.900322447186692e-05,0.0
junction,3.7912198015891203e-06,0.0
multidimension,4.354869039321624e-05,0.0
semicircular,3.7912198015891203e-06,0.0
sythesi,3.7912198015891203e-06,0.0
evolv,3.349899261016634e-05,0.0
login,1.1373659404767364e-05,0.0
immunofluoresc,3.7912198015891203e-06,0.0
model-spars,3.7912198015891203e-06,0.0
floodfil,1.1040114234783856e-05,0.0
sw,3.7912198015891203e-06,0.0
aicbic,3.7912198015891203e-06,0.0
pwelch,2.0686214024338957e-05,0.0
shift,0.001478912587377908,0.0003414681770089654
el,7.36007615652257e-06,0.0
deltasumm,3.7912198015891203e-06,0.0
autoregress,1.7699828362187408e-05,0.0
kindl,3.7912198015891203e-06,0.0
wow,7.36007615652257e-06,0.0
multi-ton,7.36007615652257e-06,0.0
lcss,3.7912198015891203e-06,0.0
wharev,3.7912198015891203e-06,0.0
pseudo-grayscal,3.7912198015891203e-06,0.0
vein,6.0298186698299416e-05,0.0
recent,0.00026837001533143657,0.0003988953408303572
prony-typ,3.7912198015891203e-06,0.0
resconstruct,3.7912198015891203e-06,0.0
forgot,3.629895780961549e-05,0.0
sine,0.0011722728858973672,0.0007045177612978776
lmd,7.5824396031782405e-06,0.0
featur,0.00172825686659017,0.000120480556255975
rrw,3.7912198015891203e-06,0.0
chl,3.7912198015891203e-06,0.0
x-point,3.7912198015891203e-06,0.0
spectroscop,3.7912198015891203e-06,0.0
protein,2.0939830001042627e-05,0.0
blue,0.0003866384951528436,0.0002750630344672518
rad,1.472015231304514e-05,0.0
dependend,7.36007615652257e-06,0.0
briefli,5.127034910331926e-05,0.0
telephoni,3.601153390168273e-06,0.00019983122978437767
made,0.0004686846260226216,0.0006935394676963405
multi,6.297179953408905e-05,0.0003327963433944967
surf-detector,3.7912198015891203e-06,0.0
slaney,7.36007615652257e-06,0.0
theyr,3.7912198015891203e-06,0.0
color,0.0011927254305234309,0.0002580327615151787
jmv,3.7912198015891203e-06,0.0
threshold,0.0009806524422651312,0.0
rotari,1.4404613560673092e-05,0.0
wiener-khintichin,3.7912198015891203e-06,0.0
sumr,3.7912198015891203e-06,0.0
waveguid,1.080346017050482e-05,0.0
geometri,5.505819814070958e-05,0.0
art,7.095330698928708e-05,0.0001640526087147501
chicken,7.36007615652257e-06,0.0
edge-lik,3.7912198015891203e-06,0.0
ccw,3.7912198015891203e-06,0.0
on-screen,3.7912198015891203e-06,0.0
sea,1.7449858334202188e-05,0.0
frenquenc,3.7912198015891203e-06,0.0
collect,0.00026418472453122315,0.0002714786515931513
bnois,3.7912198015891203e-06,0.0
erp,2.6538538611123844e-05,0.0
command-lin,7.5824396031782405e-06,0.0
global,0.00010071260860945489,0.00015967522665826206
x-unit,3.7912198015891203e-06,0.0
insuffici,1.7449858334202188e-05,0.0
shank,7.5824396031782405e-06,0.0
insignificantli,3.7912198015891203e-06,0.0
cellur,7.5824396031782405e-06,0.0
on-the-fli,3.7912198015891203e-06,0.0
flash,3.378789943512603e-05,0.0
doe,1.9545815555813868e-05,0.00018076913775831477
dewarp,3.7912198015891203e-06,0.0
paulo,3.7912198015891203e-06,0.0
make,0.0015105255324831663,0.001544429773155464
deviat,0.0004078767086945496,0.00013885548586711996
insteat,3.7912198015891203e-06,0.0
siferd,3.7912198015891203e-06,0.0
diastol,7.5824396031782405e-06,0.0
unrel,2.413391636172878e-05,0.0
see,0.0014654516106009626,0.0022877530919100703
scale-spac,0.00016793129757593212,0.0
turbo,1.8400190391306426e-05,0.0
int-array,3.7912198015891203e-06,0.0
n-parallel,3.7912198015891203e-06,0.0
fancier,3.7912198015891203e-06,0.0
consum,6.696319417392684e-05,0.0
avisoft,7.36007615652257e-06,0.0
wirelesscommun,3.7912198015891203e-06,0.0
cordin,7.36007615652257e-06,0.0
rip,4.826783272345756e-05,0.0
virtex,3.7912198015891203e-06,0.0
catch-phras,3.7912198015891203e-06,0.0
svm,0.00012804334730325394,0.0
non-pow,3.7912198015891203e-06,0.0
real-tim,0.0006416581630864653,0.0
lenient,3.7912198015891203e-06,0.0
noise-toler,3.7912198015891203e-06,0.0
poorer,7.36007615652257e-06,0.0
multithread,3.7912198015891203e-06,0.0
impulse-response-ultra,3.7912198015891203e-06,0.0
jag,1.080346017050482e-05,0.0
treshhold,3.7912198015891203e-06,0.0
ultrasound,0.00011861734295692898,0.0
nexu,3.7912198015891203e-06,0.0
consine-similar,3.7912198015891203e-06,0.0
hmm-gmm,3.7912198015891203e-06,0.0
parameter,2.1239794034624894e-05,0.0
particularli,0.00012389384898252014,0.0005612229176803301
direct-form,1.1040114234783856e-05,0.0
attenu,0.0005115984197580505,0.0
jean-loup,3.7912198015891203e-06,0.0
metod,3.7912198015891203e-06,0.0
pre-psd,3.7912198015891203e-06,0.0
admittedli,7.36007615652257e-06,0.0
inhomogen,5.116630468121138e-05,0.0
margarita,3.7912198015891203e-06,0.0
phy-astr,3.7912198015891203e-06,0.0
unmark,7.36007615652257e-06,0.0
calcbackproject,7.5824396031782405e-06,0.0
special,0.00020907032574379874,0.00041433927826395957
rug,3.7912198015891203e-06,0.0
bvp,3.7912198015891203e-06,0.0
navier-stok,3.7912198015891203e-06,0.0
spectrogarm,3.7912198015891203e-06,0.0
greater,0.00023276045363349499,0.0001435120691601454
tarmac,3.7912198015891203e-06,0.0
incred,2.0686214024338957e-05,0.0
walki,3.7912198015891203e-06,0.0
laymen,3.7912198015891203e-06,0.0
weaken,1.080346017050482e-05,0.0
upward,5.152622065039741e-05,0.0001681903631342986
explod,6.979943333680874e-06,0.00019366165629083936
though,0.00047222164456757845,0.0006895790096932708
ipython,2.1239794034624894e-05,0.0
neuback,7.5824396031782405e-06,0.0
bizarr,7.36007615652257e-06,0.0
frighten,3.7912198015891203e-06,0.0
glean,6.979943333680874e-06,0.00019366165629083936
numpoint,1.1373659404767364e-05,0.0
non-act,3.7912198015891203e-06,0.0
pil,3.7912198015891203e-06,0.0
fenc,7.36007615652257e-06,0.0
inter,2.7919773334723497e-05,0.0
aliki,3.7912198015891203e-06,0.0
complex,0.0013495770267302428,0.0016919090857897602
regular,0.0002004235351263579,0.0
sucess,3.7912198015891203e-06,0.0
comm,1.080346017050482e-05,0.0
chi,3.7912198015891203e-06,0.0
ambigu,6.168685746174244e-05,0.0004890084311705001
mata,3.7912198015891203e-06,0.0
heartbeat-rel,3.7912198015891203e-06,0.0
blow,1.36443479149897e-05,0.0003785685484687026
workingbuff,3.7912198015891203e-06,0.0
huffman,4.434413072371653e-05,0.0
sugest,1.4159862689749926e-05,0.0
punch,1.080346017050482e-05,0.0
multidirect,3.7912198015891203e-06,0.0
mercuri,3.7912198015891203e-06,0.0
shortest,3.9885173516397155e-05,0.0
north,1.7449858334202188e-05,0.0
propos,0.00016683112240248096,0.00028484949334471214
whatsoev,7.36007615652257e-06,0.0
color-spac,3.7912198015891203e-06,0.0
bread,3.7912198015891203e-06,0.0
lindenberg,7.5824396031782405e-06,0.0
scalabl,1.080346017050482e-05,0.0
parks-mclellan,3.7912198015891203e-06,0.0
time-seri,0.0007493602383641904,0.0
san,7.36007615652257e-06,0.0
ecaxt,3.7912198015891203e-06,0.0
image-segment,0.00010030877666107091,0.0
interest,0.000830362499001012,0.0016995821100223346
non-band,3.7912198015891203e-06,0.0
quran,3.7912198015891203e-06,0.0
nodul,1.5164879206356481e-05,0.0
adsp,7.36007615652257e-06,0.0
trap,3.7912198015891203e-06,0.0
ramp-lik,3.7912198015891203e-06,0.0
fingerprint,0.00011535828548246836,0.0
javacv,3.7912198015891203e-06,0.0
hour,0.0001286191965726465,0.0
narrow,0.00016810477206863524,0.0002870241383202908
sine-sweep,3.7912198015891203e-06,0.0
affin,0.00011012589709243999,0.0
prentice-hal,3.7912198015891203e-06,0.0
dvb,1.080346017050482e-05,0.0
uncertain,4.289876832045467e-05,0.0
mat,6.189508259341058e-05,0.0
n-d,3.7912198015891203e-06,0.0
sz,3.7912198015891203e-06,0.0
mupdf,3.7912198015891203e-06,0.0
dissoci,3.7912198015891203e-06,0.0
henc,0.0003086476264114969,0.0002634943610619005
at-top,3.7912198015891203e-06,0.0
kid,7.36007615652257e-06,0.0
cone-shap,3.7912198015891203e-06,0.0
data,0.0043467163289933365,0.0008451408044885789
altrough,3.7912198015891203e-06,0.0
canni,0.00019933809773578157,0.0
mathcal,3.7912198015891203e-06,0.0
chord,0.00011479404715530318,0.0
hessian,0.00011145053511352639,0.0
ror,3.7912198015891203e-06,0.0
oppenheim-schaf,1.080346017050482e-05,0.0
manifest,3.069978280872683e-05,0.0
numtap,7.5824396031782405e-06,0.0
neighbor,0.0001256280524663059,0.0
wealth,3.7912198015891203e-06,0.0
awar,0.00018248755789248923,0.00027743556640723126
ffcdm,7.5824396031782405e-06,0.0
near-real-tim,3.7912198015891203e-06,0.0
loyalti,3.7912198015891203e-06,0.0
osscil,3.7912198015891203e-06,0.0
short-liv,3.7912198015891203e-06,0.0
stiff,3.7912198015891203e-06,0.0
prewitt,2.7919773334723497e-05,0.0
moder,2.0686214024338957e-05,0.0
capabl,7.507436033091988e-05,0.00016022859820371006
audio,0.002776113401044905,0.0010472401169370964
cran,1.1040114234783856e-05,0.0
tolga,3.7912198015891203e-06,0.0
misreport,3.7912198015891203e-06,0.0
covarainc,3.7912198015891203e-06,0.0
can,1.4159862689749926e-05,0.0
there,0.0003792493383117283,0.0004951737823884049
re-fram,3.7912198015891203e-06,0.0
mov,3.7912198015891203e-06,0.0
daub,3.7912198015891203e-06,0.0
wname,7.36007615652257e-06,0.0
dalal,1.1040114234783856e-05,0.0
commiss,3.7912198015891203e-06,0.0
trolley,7.5824396031782405e-06,0.0
noise-sampl,3.7912198015891203e-06,0.0
passband,0.00022482247730849788,0.0
oilspil,7.5824396031782405e-06,0.0
element,0.000572239548736,0.00047571663714157436
well-separ,3.7912198015891203e-06,0.0
soundcloud-emb,3.7912198015891203e-06,0.0
up-to,3.7912198015891203e-06,0.0
beamsplitt,7.5824396031782405e-06,0.0
fftinvers,3.7912198015891203e-06,0.0
piano,9.018532647596352e-05,0.0
honglak,3.7912198015891203e-06,0.0
half-an-hour,3.7912198015891203e-06,0.0
excess,3.102932103650844e-05,0.0
line-lik,3.7912198015891203e-06,0.0
dmi,3.7912198015891203e-06,0.0
ask,0.0007855641396901218,0.0012583159100007853
time-period,7.36007615652257e-06,0.0
excav,3.7912198015891203e-06,0.0
vice,8.841088266177058e-05,0.0
