word,StackTrain,MoocDsp
solder,3.811961217420656e-06,0.0
mecklenbräuk,7.623922434841312e-06,0.0
thefouriertransform,3.811961217420656e-06,0.0
freak,7.400342458162538e-06,0.0
white-on-black,7.623922434841312e-06,0.0
insert-other-shape-her,3.811961217420656e-06,0.0
chair,1.086256491028328e-05,0.0
roman,3.811961217420656e-06,0.0
herebelow,3.811961217420656e-06,0.0
divis,0.00013136065300133496,0.00015420720143321926
trough,5.7585609122134004e-05,0.0008361180196916211
vibrato,3.772723595045017e-05,0.0
persuad,3.811961217420656e-06,0.0
quadtre,3.811961217420656e-06,0.0
gaussian-ish,3.811961217420656e-06,0.0
conson,5.052339378968086e-05,0.0
bifurc,7.400342458162538e-06,0.0
dspguid,3.341948470227408e-05,0.0
koeffici,3.811961217420656e-06,0.0
de-amplif,3.811961217420656e-06,0.0
damp,0.00015281447996756987,0.0
cdot,0.0001111514663372979,0.0
pseudo-data,7.623922434841312e-06,0.0
layman,3.649754607871691e-05,0.0
rehears,3.811961217420656e-06,0.0
evolv,3.3682262526453905e-05,0.0
abitrari,3.811961217420656e-06,0.0
stereo,0.0002951110571874967,0.0
vhf,1.1100513687243807e-05,0.0
opaqu,1.086256491028328e-05,0.0
prove,0.00030030662226007053,0.0008528276172481612
appriaci,3.811961217420656e-06,0.0
freqz,4.458673339598656e-05,0.0
pair,0.00033392034957902645,0.0003865140794775219
curpwmod,3.811961217420656e-06,0.0
suspicion,1.086256491028328e-05,0.0
pichenettl,3.811961217420656e-06,0.0
publicali,3.811961217420656e-06,0.0
eod,3.811961217420656e-06,0.0
nyquist-sampl,3.811961217420656e-06,0.0
done,0.0008668546355509762,0.0007921845116234656
pre-matched-filt,3.811961217420656e-06,0.0
set-up,7.400342458162538e-06,0.0
empir,8.973698397475103e-05,0.0
bascial,3.811961217420656e-06,0.0
coeffeci,3.811961217420656e-06,0.0
my,1.0289246168304592e-05,0.0003784683036120069
quasiperiod,7.400342458162538e-06,0.0
mvn,3.811961217420656e-06,0.0
electron,9.944761612730967e-05,0.0004572464537040364
laurent,7.400342458162538e-06,0.0
appi,7.400342458162538e-06,0.0
whiteboard,7.623922434841312e-06,0.0
rampil,3.811961217420656e-06,0.0
thick,9.02139778419635e-05,0.0
noise-band,1.5247844869682624e-05,0.0
cityscap,3.811961217420656e-06,0.0
theorem,0.00030598818993441,0.001246373757118576
sidestick,3.811961217420656e-06,0.0
remark,4.036219290258716e-05,0.00017130443872434244
numfram,1.143588365226197e-05,0.0
popular,7.053571241396731e-05,0.0
designnew,3.811961217420656e-06,0.0
circumfer,7.623922434841312e-06,0.0
pre-filt,3.158158483579536e-05,0.0
unflip,3.811961217420656e-06,0.0
boron,3.811961217420656e-06,0.0
canal,1.086256491028328e-05,0.0
rewritten,1.7545324908775197e-05,0.0
electrooculograph,3.811961217420656e-06,0.0
time-divis,3.811961217420656e-06,0.0
libsvmformat,3.811961217420656e-06,0.0
accelert,3.811961217420656e-06,0.0
supsici,3.811961217420656e-06,0.0
signal-delay,7.623922434841312e-06,0.0
rxi,1.1100513687243807e-05,0.0
quadrophon,3.811961217420656e-06,0.0
rule,0.00019119443372363462,0.0004219611338351266
dbf,3.2033992499744584e-05,0.0
klangfreund,3.811961217420656e-06,0.0
arrow,4.967654511087649e-05,0.00017130443872434244
quantum,2.5909139803535738e-05,0.00017868998908716172
reminisc,3.811961217420656e-06,0.0
gentl,3.6208549700944267e-06,0.0001997783145248452
ssrt,3.811961217420656e-06,0.0
out-of-bound,3.811961217420656e-06,0.0
rout,2.4008241059377376e-05,0.0
edu,3.649754607871691e-05,0.0
m-file,7.400342458162538e-06,0.0
baird,3.811961217420656e-06,0.0
morphological-oper,3.341948470227408e-05,0.0
segreg,3.811961217420656e-06,0.0
tight,5.389162004232625e-05,0.0
line-walking-and-map,3.811961217420656e-06,0.0
trim,2.426595080475746e-05,0.0
plea,3.811961217420656e-06,0.0
precondit,3.811961217420656e-06,0.0
aalto,3.811961217420656e-06,0.0
root-sum-of-squar,3.811961217420656e-06,0.0
re-classifi,3.811961217420656e-06,0.0
bough,3.811961217420656e-06,0.0
finicki,3.811961217420656e-06,0.0
request,8.636185336876097e-05,0.0
histori,0.0001136334350620385,0.0003215205520110015
talki,3.811961217420656e-06,0.0
wrote,0.00019540565365264146,0.0001456943197631861
emcompass,3.811961217420656e-06,0.0
obama,3.811961217420656e-06,0.0
meausr,7.400342458162538e-06,0.0
terminolog,0.00011856608012243447,0.00042663953755663243
dialogu,3.811961217420656e-06,0.0
tunabl,2.1054389890530237e-05,0.0
mspaint,3.811961217420656e-06,0.0
jr,3.6208549700944267e-06,0.0001997783145248452
roc,0.00019380408097741027,0.0006110293676175434
furthur,3.811961217420656e-06,0.0
quiet,3.70504887790993e-05,0.0
maxima,0.00015577987675981776,0.0
sturct,3.811961217420656e-06,0.0
playabl,7.400342458162538e-06,0.0
redistribut,3.811961217420656e-06,0.0
artifact,0.00032237061026356835,0.0
sound,0.0018266279210875055,0.0008927628463768449
walsh-hadamard,4.2711989999659445e-05,0.0
discrimin,0.0001233830584355468,0.0
config,3.811961217420656e-06,0.0
lgm,3.811961217420656e-06,0.0
section,0.00040544856627678955,0.000594956397731399
main-lobe-width,3.811961217420656e-06,0.0
mung,3.811961217420656e-06,0.0
famou,4.559010770028405e-05,0.0
tuft,3.811961217420656e-06,0.0
mult-path,3.811961217420656e-06,0.0
deconv,1.4800684916325076e-05,0.0
