word,StackTrain,MoocDsp
egc,1.8985038223753073e-05,0.0
rosetta,3.7970076447506148e-06,0.0
pseudocod,6.329313579244495e-05,0.0
seismogram,2.1639906417439245e-05,0.0
enlighten,3.63543733976644e-05,0.0
convolution-bas,7.371312373012246e-06,0.0
code,0.0029221277915678426,0.0006702287786829647
danielson-lanczo,7.5940152895012296e-06,0.0
programming-rel,3.7970076447506148e-06,0.0
disc,7.371312373012246e-06,0.0
ycrcb,7.371312373012246e-06,0.0
reflector,3.7970076447506148e-06,0.0
frequenct,3.7970076447506148e-06,0.0
revolut,2.0717794509946198e-05,0.0
hum,4.399132599009493e-05,0.0
viewpoint,5.5464356000164965e-05,0.0
clasroom,3.7970076447506148e-06,0.0
demix,3.7970076447506148e-06,0.0
split,0.00041491939383900186,0.0
sell,3.7970076447506148e-06,0.0
undeflow,3.7970076447506148e-06,0.0
world-fram,3.7970076447506148e-06,0.0
telemetri,7.5940152895012296e-06,0.0
detectin,3.7970076447506148e-06,0.0
pauli,7.5940152895012296e-06,0.0
rolling-bal,3.7970076447506148e-06,0.0
todd,3.7970076447506148e-06,0.0
over-al,3.7970076447506148e-06,0.0
sparc,3.7970076447506148e-06,0.0
alp,3.7970076447506148e-06,0.0
invfreqz,3.7970076447506148e-06,0.0
paraboloid,7.5940152895012296e-06,0.0
cpu-usag,3.7970076447506148e-06,0.0
discontinu,0.0002378093485386159,0.0
finchtv,3.7970076447506148e-06,0.0
conting,3.7970076447506148e-06,0.0
american,1.4181479759908247e-05,0.0
hypergeometr,7.5940152895012296e-06,0.0
blackish,3.7970076447506148e-06,0.0
alter,0.00011721765635718297,0.00046425367268687536
scribbl,3.7970076447506148e-06,0.0
tracker,3.190832945979355e-05,0.0
inextendedmin,3.7970076447506148e-06,0.0
imiganiri,3.7970076447506148e-06,0.0
laplac,8.720842090726927e-05,0.0
thread,7.686769966871211e-05,0.0007348627623780201
parlanc,3.7970076447506148e-06,0.0
so,8.109154766387909e-05,0.0
necklac,3.7970076447506148e-06,0.0
wharev,3.7970076447506148e-06,0.0
avoid,0.0003449792872074399,0.0003903797579020125
behind,0.00034422676978755807,0.0006940684408147455
dna,2.4467097279301013e-05,0.0
sigal,7.371312373012246e-06,0.0
