word,StackTrain,MoocReactive
dialect,3.856506217784583e-06,0.0
pt,1.841400378576413e-05,0.0
jmusic,3.856506217784583e-06,0.0
camel-lik,3.856506217784583e-06,0.0
pre-trigg,3.856506217784583e-06,0.0
bi-linear,3.856506217784583e-06,0.0
se,8.568204944928945e-05,2.524116617579525e-05
succeed,2.2278052426765206e-05,0.0003445530471906846
learn,0.0006197999911246807,0.0005838732454722663
girl,1.450752035656045e-05,0.0
stack,0.00014201155185116393,0.0005307858034777859
point-spread,1.1048402271458477e-05,0.0
egg,7.162379153025505e-06,2.9539620609984684e-05
anil,3.856506217784583e-06,0.0
poornachandra,3.856506217784583e-06,0.0
lunett,3.856506217784583e-06,0.0
downvot,1.0527285889563206e-05,2.894494735027467e-05
upon,0.0001545528618285982,0.00019919327804101853
avanc,3.856506217784583e-06,0.0
basicli,1.1048402271458477e-05,0.0
bitshift,3.856506217784583e-06,0.0
electro-harmonix,3.856506217784583e-06,0.0
oppenheim,0.000108336030965191,0.0
stanley,3.856506217784583e-06,0.0
colon,3.856506217784583e-06,0.0
tuner,6.474219820173891e-05,0.0
real-tim,0.0006563240603101773,0.0
polyfit,3.856506217784583e-06,0.0
nano-second,7.713012435569166e-06,0.0
intertri,3.856506217784583e-06,0.0
brunet,3.856506217784583e-06,0.0
sleep,5.9759578292515926e-05,0.00027111142207693757
soft-decod,7.713012435569166e-06,0.0
sampl,0.006290950073959346,0.00026346797396041495
shallow,1.1048402271458477e-05,0.0
gain-phas,1.9282531088922917e-05,0.0
alloc,4.429729350645294e-05,0.0
preliminari,5.390165340626777e-05,0.0
colour,0.00021697231024936814,7.255568550129696e-05
accomplish,0.00011834308288827802,6.810410331436234e-05
positive-frequ,3.856506217784583e-06,0.0
punch,1.450752035656045e-05,0.0
sss,3.856506217784583e-06,0.0
bird-ey,7.713012435569166e-06,0.0
airport,1.1264685111433532e-05,0.0
ecp,3.856506217784583e-06,0.0
coffi,3.856506217784583e-06,0.0
timedomain,1.1264685111433532e-05,0.0
scale-rot,7.713012435569166e-06,0.0
cathedr,7.713012435569166e-06,0.0
wxw,3.856506217784583e-06,0.0
jean-yv,3.856506217784583e-06,0.0
dk,3.856506217784583e-06,0.0
pointless,7.50979007428902e-06,0.0
paradigm,7.162379153025505e-06,2.9539620609984684e-05
non-nas,3.856506217784583e-06,0.0
