word,StackTrain,StackTest
egc,2.310399533196482e-05,0.0
rosetta,4.620799066392964e-06,0.0
pseudocod,6.774788097678476e-05,8.396762216495614e-05
seismogram,2.651740520049187e-05,0.0
enlighten,3.996715744653539e-05,6.00434242297419e-05
convolution-bas,9.006172331276809e-06,0.0
code,0.0022161514335631433,0.0019883239238659214
danielson-lanczo,9.241598132785927e-06,0.0
programming-rel,4.620799066392964e-06,0.0
disc,8.368283463812385e-06,6.914507670967419e-05
ycrcb,9.006172331276809e-06,0.0
reflector,4.620799066392964e-06,0.0
frequenct,4.620799066392964e-06,0.0
revolut,2.554261358875564e-05,0.0
hum,5.439384251478051e-05,0.0
viewpoint,6.552886638023413e-05,1.5924969812763613e-05
clasroom,4.620799066392964e-06,0.0
demix,4.620799066392964e-06,0.0
split,0.0003941758251129127,0.0002554492785686386
sell,4.620799066392964e-06,0.0
undeflow,4.620799066392964e-06,0.0
world-fram,4.620799066392964e-06,0.0
telemetri,9.241598132785927e-06,0.0
detectin,4.620799066392964e-06,0.0
pauli,9.241598132785927e-06,0.0
rolling-bal,4.620799066392964e-06,0.0
todd,4.620799066392964e-06,0.0
over-al,4.620799066392964e-06,0.0
sparc,4.620799066392964e-06,0.0
alp,4.620799066392964e-06,0.0
invfreqz,4.620799066392964e-06,0.0
paraboloid,9.241598132785927e-06,0.0
cpu-usag,4.620799066392964e-06,0.0
discontinu,0.00025479258141513527,0.0001949341385817809
finchtv,4.620799066392964e-06,0.0
conting,4.620799066392964e-06,0.0
american,1.6143364062561362e-05,3.334716585799885e-05
hypergeometr,9.241598132785927e-06,0.0
blackish,4.620799066392964e-06,0.0
alter,0.0001286163597858609,0.00012651493813302712
scribbl,4.620799066392964e-06,0.0
tracker,3.557090145075523e-05,6.531414371048243e-05
inextendedmin,4.620799066392964e-06,0.0
imiganiri,4.620799066392964e-06,0.0
laplac,9.791399802100397e-05,5.778852747477521e-05
thread,9.602554166461888e-05,8.207953782340633e-05
parlanc,4.620799066392964e-06,0.0
so,9.083444874212589e-05,9.006513634461285e-05
necklac,4.620799066392964e-06,0.0
wharev,4.620799066392964e-06,0.0
avoid,0.00036173869023143544,0.00027449616128839626
behind,0.0003770697004165445,0.00040597662748173926
dna,2.87043616977817e-05,6.776488870415891e-05
sigal,9.006172331276809e-06,0.0
thoma,1.7419141797490206e-05,0.0
static,0.00016598230839312268,4.198381108247807e-05
there,0.00038842393887906406,0.000446284728117372
electro,4.620799066392964e-06,0.0
fold,9.307001701311892e-05,0.00012816912599363214
instfreq,1.3862397199178893e-05,0.0
execpt,4.620799066392964e-06,0.0
celebr,4.620799066392964e-06,0.0
computefrequ,4.620799066392964e-06,0.0
destroy,4.024502593675089e-05,6.046087137144582e-05
wavalet,4.620799066392964e-06,0.0
wood,3.0921578385391845e-05,6.387435722893367e-05
k-space,0.00010276038196884845,1.6328535927620608e-05
em-uk,1.3509258496915214e-05,0.0
sub-mm,4.620799066392964e-06,0.0
bottom,0.0002646988036125504,0.00019569159755857723
kneighborsclassifi,4.620799066392964e-06,0.0
seent,4.620799066392964e-06,0.0
log-averag,9.241598132785927e-06,0.0
minor,8.564630077541464e-05,0.00013268895129355652
alcohol,1.8483196265571855e-05,0.0
chair,1.3258702600245935e-05,0.0
zip,2.3396349400232685e-05,6.443943496103102e-05
helicopt,2.2097837667076557e-05,1.8258902046224862e-05
closur,3.535654026732249e-05,0.0
fouier,4.620799066392964e-06,0.0
guitarpitchshift,4.620799066392964e-06,0.0
drift,0.00017942104609900987,0.00010981571557695242
overtim,9.006172331276809e-06,0.0
empir,8.940309051533482e-05,0.00010943938376454179
back-up,4.620799066392964e-06,0.0
scypi,4.620799066392964e-06,0.0
procedur,0.00035456371640433707,0.00042968539522335303
follwo,9.006172331276809e-06,0.0
junction,4.620799066392964e-06,0.0
exam,0.00013998567194725117,0.0001413704504845322
reagrd,9.006172331276809e-06,0.0
pertin,9.006172331276809e-06,0.0
wimax,9.006172331276809e-06,0.0
timit,9.006172331276809e-06,0.0
burn,2.2515430828192028e-05,0.0
precession,9.241598132785927e-06,0.0
frf,4.1535539163948996e-05,3.431979872680516e-05
warrant,1.7419141797490206e-05,0.0
dual-ton,9.241598132785927e-06,0.0
magenta,3.899391566705447e-05,6.443943496103102e-05
ap,4.301854632660752e-06,3.554517122364341e-05
complex-to-r,9.241598132785927e-06,0.0
magintud,4.620799066392964e-06,0.0
essiambr,4.620799066392964e-06,0.0
sub-clock,9.241598132785927e-06,0.0
