word,MoocDsp,MoocReactive
standard,0.00027297573029392034,0.0002319142368214011
effect,0.001103567803840904,0.00035798019508848035
everybodi,0.0002743103923220431,0.00012711716542921866
discuss,0.000640932954549387,0.0005280219954746511
calcul,0.0013190822585936672,0.0015027079633219888
juan,0.0001708857444720315,0.0
scheme,0.0004479291278435355,4.612737382208887e-05
intend,0.0006967232826154164,0.00023318097274237912
typo,0.0005642243737344611,6.536628310731091e-05
score,0.0010743170607813203,0.0017839456580731924
excit,0.0001708857444720315,0.0
sine,0.0009904160122980465,0.0
thoght,0.0001708857444720315,0.0
learn,0.0014017340887412977,0.0005918326449308159
accord,0.00013648786514696017,0.0002319142368214011
want,0.0012328715795410497,0.0013568861012038897
epfl,0.0001393664922683731,0.0005166664901902832
seen,0.0007089825776767556,0.00048499794778916603
mistak,0.000811438106067549,6.26709224608742e-05
normal,0.00024419093284360404,0.00041491859930664106
download,0.000681981894922431,0.0005618394848922975
sinc,0.0015127305454089583,0.0011099307156798386
expos,0.0001551261183702023,4.792428091971335e-05
moment,0.0002955966190728733,0.00011415111426915444
he,0.0001509993104464207,6.997403256665882e-05
verilog,0.0001708857444720315,0.0
click,0.0003539059754940613,0.0006013416220179386
eleg,0.0002565501204454527,0.0002575883774893164
zero-pad,0.0001708857444720315,0.0
uk,0.0001708857444720315,0.0
approxim,0.0003102522367404046,4.792428091971335e-05
bibo,0.0001708857444720315,0.0
wav,0.0001708857444720315,0.0
bonu,0.00016094252745922608,2.4860594008668912e-05
frame,0.00014779830953643664,0.00011415111426915444
soon,0.00025884655051113534,0.00021991039331960413
ate,0.0001708857444720315,0.0
recip,0.0001708857444720315,0.0
doe,0.00016094252745922608,2.4860594008668912e-05
confid,0.00029036580271479383,6.727867192022211e-05
contain,0.0006050508301171211,0.0015576909430149051
mine,0.00029036580271479383,0.00011213111986703686
odd,0.0008867898572186198,2.2830222853830892e-05
telephoni,0.0001708857444720315,0.0
omega,0.001126597692214583,0.0
sampl,0.00629877462393823,0.00031948070293408656
alloc,0.0001708857444720315,0.0
make,0.0014944863089781614,0.0013956020058892753
know,0.002396178863966097,0.0016039174584976904
continuous-sign,0.0001708857444720315,0.0
accomplish,0.0004355487040721907,6.727867192022211e-05
aris,0.0004355487040721907,4.485244794681474e-05
left,0.00023666368641984186,0.0005300786485999068
investig,0.0001509993104464207,6.997403256665882e-05
couldn,0.000341771488944063,0.0
blow,0.0003019986208928414,6.997403256665882e-05
occas,0.000341771488944063,0.0
crash,0.00014297160525004535,0.0001545925345091074
clip,0.0001708857444720315,0.0
bateman,0.0005126572334160945,0.0
dsp,0.004180671859872999,0.0
speak,0.0001708857444720315,0.0
focuss,0.0001708857444720315,0.0
reproduc,0.0002787329845367462,0.00019374993382135618
structur,0.00025884655051113534,0.00025989410119589584
rais,0.0003102522367404046,7.188642137957003e-05
hypothesi,0.00016094252745922608,4.9721188017337824e-05
richard,0.0007756305918510117,0.0
ad,0.0003310703411522712,0.0005966336584808005
ak,0.0008047126372961305,0.0
pragmat,0.00016094252745922608,2.4860594008668912e-05
undergradu,0.00016094252745922608,4.9721188017337824e-05
fairli,0.0004057190530337745,0.00010445153743479034
thousand,0.0001708857444720315,0.0
right,0.0013203507793432007,0.0011877260542686174
wait,0.00011505746602805917,0.0011552310301293106
modul,0.0028253466596900533,0.00018464253879961048
neither,0.0002743103923220431,0.00012711716542921866
sever,0.00046141300127592265,0.0004632803373655461
rid,0.00016094252745922608,2.4860594008668912e-05
region,0.0004952080061490233,0.0
past,0.00013024321440970122,0.0003218961428718866
expect,0.00035345967244316824,0.0026343766745145544
postiv,0.0001708857444720315,0.0
may,0.0013190802856663417,0.0009508646336943069
modern,0.0001708857444720315,0.0
instruct,0.00031997464232563186,0.0007908174229901416
yeah,0.00016094252745922608,2.4860594008668912e-05
per,0.000603641195225655,0.00018648742403047655
displac,0.0001708857444720315,0.0
head,0.0006264823366589304,0.0001741895190045789
finish,0.0003162300999185258,0.0010095185977118302
degre,0.0009873926540353072,6.536628310731091e-05
increas,0.0009675780111116854,0.00026155602158105674
graph,0.0020573279424153236,6.355858271460933e-05
clearli,0.0004965930091957789,0.00023012433166157034
speci,0.0001708857444720315,0.0
highest,0.0005126572334160945,0.0
pass,0.0006452766936239026,0.0029528747242385175
continouo,0.0001708857444720315,0.0
dft,0.00682439325734801,0.0
cedric,0.0001708857444720315,0.0
guess,0.0006455041267340491,0.000548406251190918
would,0.0027588507708603163,0.002335664231998513
catch,0.0001279118755108258,0.0004939597470233072
back,0.0009542950800218455,0.0009876388645496763
gap,0.0003102522367404046,2.3962140459856676e-05
get,0.002512673339355779,0.003479782228538939
affect,0.0002743103923220431,0.00014830335966742173
appendix,0.0001551261183702023,9.58485618394267e-05
thing,0.0009210819657156657,0.0013193087711641438
index,0.0010789575328300543,0.00042592228335174454
aoov,0.0001708857444720315,0.0
engin,0.0021777435203609538,4.485244794681474e-05
tend,0.000298619418562357,4.612737382208887e-05
exponenti,0.0013961350653318209,0.0
pen,0.0001708857444720315,0.0
