word,StackTrain,StackTest
dialect,4.670458383860164e-06,0.0
pt,2.233532116728524e-05,0.0
jmusic,4.670458383860164e-06,0.0
camel-lik,4.670458383860164e-06,0.0
pre-trigg,4.670458383860164e-06,0.0
bi-linear,4.348086282605186e-06,3.4506295916888986e-05
se,9.230350582009191e-05,0.00014388749222396134
succeed,3.220571345080166e-05,3.194795958263651e-05
learn,0.0007082948434543269,0.0006732684692108561
girl,1.679276716681369e-05,3.331673726437102e-05
stack,0.00018852612361298254,0.00018701728147273126
point-spread,1.3401192700371143e-05,0.0
egg,8.696172565210373e-06,1.7253147958444493e-05
anil,4.670458383860164e-06,0.0
poornachandra,4.670458383860164e-06,0.0
lunett,4.670458383860164e-06,0.0
downvot,1.2791010249161796e-05,1.6918185612647908e-05
upon,0.00017785944765045996,0.00022054496842646053
avanc,4.670458383860164e-06,0.0
basicli,1.2791010249161796e-05,3.3836371225295816e-05
bitshift,4.670458383860164e-06,0.0
electro-harmonix,4.670458383860164e-06,0.0
oppenheim,0.00011424004642450873,6.66622014036361e-05
stanley,4.467064233457048e-06,1.7725250869109317e-05
colon,4.670458383860164e-06,0.0
tuner,7.10201727965209e-05,4.449585656718081e-05
real-tim,0.0005369943348897077,0.0005884179759960112
polyfit,4.348086282605186e-06,3.4506295916888986e-05
nano-second,9.340916767720329e-06,0.0
intertri,4.670458383860164e-06,0.0
brunet,4.670458383860164e-06,0.0
sleep,7.882595963597908e-05,7.819508722760839e-05
soft-decod,8.934128466914096e-06,3.5450501738218634e-05
sampl,0.0038887324032270093,0.003895891784415758
shallow,1.3401192700371143e-05,0.0
gain-phas,2.335229191930082e-05,0.0
alloc,4.645800331835203e-05,0.000269426917554855
preliminari,6.233703462728216e-05,1.5459532248960704e-05
colour,0.00022325872307191988,0.00021548617636774815
accomplish,0.00014522688829520132,4.0204070359490705e-05
positive-frequ,4.670458383860164e-06,0.0
punch,1.679276716681369e-05,1.665836863218551e-05
sss,4.670458383860164e-06,0.0
bird-ey,9.340916767720329e-06,0.0
airport,1.3044258847815558e-05,1.7253147958444493e-05
ecp,4.670458383860164e-06,0.0
coffi,4.670458383860164e-06,0.0
timedomain,1.3654441299024909e-05,0.0
scale-rot,9.340916767720329e-06,0.0
cathedr,9.340916767720329e-06,0.0
wxw,4.670458383860164e-06,0.0
jean-yv,4.670458383860164e-06,0.0
dk,4.670458383860164e-06,0.0
pointless,8.28938426440414e-06,4.933824810594926e-05
paradigm,8.458216663506649e-06,3.356209009555933e-05
non-nas,4.670458383860164e-06,0.0
suburban,4.670458383860164e-06,0.0
japanes,9.102960866016605e-06,0.0
interm,4.670458383860164e-06,0.0
sharpli,2.459675288764951e-05,1.6266597505422113e-05
zero-lag,9.340916767720329e-06,0.0
b-coeff,4.670458383860164e-06,0.0
honglak,4.670458383860164e-06,0.0
profression,4.670458383860164e-06,0.0
xo,9.340916767720329e-06,0.0
tail,7.754608078984238e-05,8.791480195499579e-05
large-scal,4.670458383860164e-06,0.0
modal,8.757471196557027e-05,0.0
theoretically-comput,4.670458383860164e-06,0.0
reconv,4.670458383860164e-06,0.0
pilot-bas,4.670458383860164e-06,0.0
pre-comput,9.102960866016605e-06,0.0
whitepap,9.102960866016605e-06,0.0
time-deriv,1.4011375151580494e-05,0.0
pseudo-randomli,4.670458383860164e-06,0.0
femal,3.3811575656369244e-05,5.9628390217577806e-05
