word,StackTrain,MoocDsp
dialect,3.823605139725571e-06,0.0
pt,1.8159575719951693e-05,0.0
jmusic,3.823605139725571e-06,0.0
camel-lik,3.823605139725571e-06,0.0
pre-trigg,3.823605139725571e-06,0.0
bi-linear,3.823605139725571e-06,0.0
se,8.781930341103819e-05,0.0
succeed,2.7261217803626553e-05,0.0
learn,0.0006242673948922253,0.001434524563699875
girl,1.4280818995417312e-05,0.0
stack,0.00018738866853439118,0.0
point-spread,1.0895745431971016e-05,0.0
egg,7.422947360914123e-06,0.0
anil,3.823605139725571e-06,0.0
poornachandra,3.823605139725571e-06,0.0
lunett,3.823605139725571e-06,0.0
downvot,1.0895745431971016e-05,0.0
upon,0.000183648663834676,0.0
avanc,3.823605139725571e-06,0.0
basicli,1.0895745431971016e-05,0.0
bitshift,3.823605139725571e-06,0.0
electro-harmonix,3.823605139725571e-06,0.0
oppenheim,0.00010485833849358057,0.0
stanley,3.823605139725571e-06,0.0
colon,3.823605139725571e-06,0.0
tuner,6.323378009074532e-05,0.0
real-tim,0.0006209845798113507,0.0
polyfit,3.823605139725571e-06,0.0
nano-second,7.647210279451142e-06,0.0
intertri,3.823605139725571e-06,0.0
brunet,3.823605139725571e-06,0.0
sleep,6.880450296510212e-05,0.0
soft-decod,7.647210279451142e-06,0.0
sampl,0.00460749567343337,0.00391824488975938
shallow,1.0895745431971016e-05,0.0
gain-phas,1.9118025698627856e-05,0.0
alloc,4.077324801226772e-05,0.00017249340003440032
preliminari,5.256741258702504e-05,0.0
colour,0.0002216399723619986,0.0
accomplish,0.00011543283606024294,0.0004429173483101288
positive-frequ,3.823605139725571e-06,0.0
punch,1.4280818995417312e-05,0.0
sss,3.823605139725571e-06,0.0
bird-ey,7.647210279451142e-06,0.0
airport,1.1134421041371183e-05,0.0
ecp,3.823605139725571e-06,0.0
coffi,3.823605139725571e-06,0.0
timedomain,1.1134421041371183e-05,0.0
scale-rot,7.647210279451142e-06,0.0
cathedr,7.647210279451142e-06,0.0
wxw,3.823605139725571e-06,0.0
jean-yv,3.823605139725571e-06,0.0
dk,3.823605139725571e-06,0.0
pointless,7.422947360914123e-06,0.0
paradigm,7.422947360914123e-06,0.0
non-nas,3.823605139725571e-06,0.0
suburban,3.823605139725571e-06,0.0
japanes,7.422947360914123e-06,0.0
interm,3.823605139725571e-06,0.0
sharpli,2.0862919694545782e-05,0.0
zero-lag,7.647210279451142e-06,0.0
b-coeff,3.823605139725571e-06,0.0
honglak,3.823605139725571e-06,0.0
profression,3.823605139725571e-06,0.0
xo,7.647210279451142e-06,0.0
tail,6.899472902047036e-05,0.0
large-scal,3.823605139725571e-06,0.0
modal,7.03952907679957e-05,0.0
theoretically-comput,3.823605139725571e-06,0.0
reconv,3.823605139725571e-06,0.0
pilot-bas,3.823605139725571e-06,0.0
pre-comput,7.422947360914123e-06,0.0
whitepap,7.422947360914123e-06,0.0
time-deriv,1.1470815419176714e-05,0.0
pseudo-randomli,3.823605139725571e-06,0.0
femal,3.066887002907987e-05,0.0
cognit,3.096202633429595e-05,0.0
add-random-nois,3.823605139725571e-06,0.0
scan,0.0002495791633887995,0.0
pass,0.0013855072539683158,0.0007825315553140551
hl,1.759891842360914e-05,0.0
dft,0.0011396866068973204,0.004340690066923962
low-ord,3.823605139725571e-06,0.0
