word,StackTrain,StackTest
fli,9.465891020412164e-05,0.0
dima,4.410396868200493e-06,1.839662864406239e-05
icon,1.3481226594237192e-05,0.0
content-bas,2.2051984341002466e-05,0.0
within,0.0004986684522803076,0.0005131385402363381
skinni,4.410396868200493e-06,1.839662864406239e-05
whittl,4.611210842897692e-06,0.0
multi-imag,4.611210842897692e-06,0.0
tiau,4.611210842897692e-06,0.0
ucl,8.987484396158127e-06,0.0
welsh,4.611210842897692e-06,0.0
parsimoni,4.611210842897692e-06,0.0
div,8.58585644676373e-06,3.581328786558558e-05
rabin,2.1728746039497326e-05,0.0
iend,4.611210842897692e-06,0.0
outstand,4.611210842897692e-06,0.0
sinuisoid,4.611210842897692e-06,0.0
inpaint,8.137849619335193e-05,0.0
sub-second,4.611210842897692e-06,0.0
unfortunatelli,4.611210842897692e-06,0.0
sett,4.611210842897692e-06,0.0
thorlab,4.611210842897692e-06,0.0
avanc,4.611210842897692e-06,0.0
luf,4.611210842897692e-06,0.0
winamp,4.410396868200493e-06,1.839662864406239e-05
momentarili,4.611210842897692e-06,0.0
siglib,1.2878784670145597e-05,3.581328786558558e-05
morgan,4.611210842897692e-06,0.0
valimaki,4.611210842897692e-06,0.0
downscal,6.962599502946717e-05,3.226929490091848e-05
junction,4.611210842897692e-06,0.0
multidimension,4.8662994689502304e-05,7.807033704534266e-05
semicircular,4.611210842897692e-06,0.0
sythesi,4.611210842897692e-06,0.0
evolv,3.944121258505069e-05,1.6451701805573493e-05
login,1.3833632528693078e-05,0.0
immunofluoresc,4.611210842897692e-06,0.0
model-spars,4.611210842897692e-06,0.0
floodfil,1.3481226594237192e-05,0.0
sw,4.611210842897692e-06,0.0
aicbic,4.611210842897692e-06,0.0
pwelch,2.307984460749817e-05,0.000112315641187046
shift,0.0012774384065670726,0.0014706805592000149
el,8.987484396158127e-06,0.0
deltasumm,4.611210842897692e-06,0.0
autoregress,2.013733294191819e-05,8.39967574540443e-05
kindl,4.611210842897692e-06,0.0
wow,8.987484396158127e-06,0.0
multi-ton,8.58585644676373e-06,1.790664393279279e-05
lcss,4.611210842897692e-06,0.0
wharev,4.611210842897692e-06,0.0
pseudo-grayscal,4.611210842897692e-06,0.0
vein,6.887974704635592e-05,4.7885151282911674e-05
recent,0.00027456566325070614,0.00033744477816105795
prony-typ,4.611210842897692e-06,0.0
resconstruct,4.611210842897692e-06,0.0
forgot,4.280430301386215e-05,1.6231375139782862e-05
sine,0.0010354699108408455,0.0012941850463141873
lmd,9.222421685795383e-06,0.0
featur,0.0014353713386983588,0.0013538927981331895
rrw,4.611210842897692e-06,0.0
chl,4.611210842897692e-06,0.0
x-point,4.611210842897692e-06,0.0
spectroscop,4.292928223381865e-06,7.162657573117116e-05
protein,2.5757569340291195e-05,0.0
blue,0.0003791038386365971,0.0003649191503283337
rad,1.717171289352746e-05,1.790664393279279e-05
dependend,8.987484396158127e-06,0.0
briefli,5.6398872773134076e-05,8.821902676989736e-05
telephoni,4.611210842897692e-06,0.0
made,0.0004728132938159366,0.0005171538272055241
multi,7.678362267135443e-05,4.575421715173098e-05
surf-detector,4.611210842897692e-06,0.0
slaney,8.987484396158127e-06,0.0
theyr,4.611210842897692e-06,0.0
color,0.0010985166514851132,0.0009378624522326336
jmv,4.611210842897692e-06,0.0
threshold,0.000817173271047573,0.0009248111507608839
rotari,1.7641587472801972e-05,0.0
wiener-khintichin,4.611210842897692e-06,0.0
sumr,4.611210842897692e-06,0.0
waveguid,1.3231190604601481e-05,0.0
geometri,5.964228990090042e-05,8.780458791917596e-05
art,8.078951994025922e-05,9.828842966230283e-05
chicken,8.987484396158127e-06,0.0
edge-lik,4.611210842897692e-06,0.0
ccw,4.611210842897692e-06,0.0
on-screen,4.611210842897692e-06,0.0
sea,2.1464641116909324e-05,0.0
frenquenc,4.611210842897692e-06,0.0
collect,0.0002836437776320307,0.00026291860398820326
bnois,4.611210842897692e-06,0.0
erp,3.2278475900283846e-05,0.0
command-lin,9.222421685795383e-06,0.0
global,0.00010787247425272609,0.00020569472249170405
x-unit,4.611210842897692e-06,0.0
insuffici,2.1464641116909324e-05,0.0
shank,9.222421685795383e-06,0.0
insignificantli,4.611210842897692e-06,0.0
cellur,9.222421685795383e-06,0.0
on-the-fli,4.410396868200493e-06,1.839662864406239e-05
flash,3.9746456038660375e-05,1.6579024825018226e-05
doe,2.5489612303864556e-05,0.0
dewarp,4.611210842897692e-06,0.0
paulo,4.611210842897692e-06,0.0
make,0.0014701114682885413,0.0016126352826748964
deviat,0.0004033732551667911,0.000526441650650102
insteat,4.611210842897692e-06,0.0
siferd,4.611210842897692e-06,0.0
diastol,9.222421685795383e-06,0.0
unrel,2.6926485375414532e-05,4.813527479444828e-05
see,0.0014791716156352709,0.0013728453918182854
scale-spac,0.0001849513318717703,7.143224150646983e-05
turbo,2.246871099039532e-05,0.0
int-array,4.611210842897692e-06,0.0
n-parallel,4.611210842897692e-06,0.0
fancier,4.611210842897692e-06,0.0
consum,7.162867957522003e-05,8.536492667463158e-05
avisoft,8.987484396158127e-06,0.0
wirelesscommun,4.611210842897692e-06,0.0
cordin,8.987484396158127e-06,0.0
rip,5.6664366396589845e-05,1.6882725994654393e-05
virtex,4.611210842897692e-06,0.0
catch-phras,4.611210842897692e-06,0.0
svm,0.00014113583416762261,0.00015418469281396497
non-pow,4.611210842897692e-06,0.0
real-tim,0.0005621650542399561,0.0005158781059136502
lenient,4.611210842897692e-06,0.0
noise-toler,4.611210842897692e-06,0.0
poorer,8.987484396158127e-06,0.0
multithread,4.292928223381865e-06,3.581328786558558e-05
impulse-response-ultra,4.611210842897692e-06,0.0
jag,1.2276342746054e-05,8.534504768143914e-05
treshhold,4.611210842897692e-06,0.0
ultrasound,0.00014070702269508825,1.5445171951452726e-05
nexu,4.611210842897692e-06,0.0
consine-similar,4.611210842897692e-06,0.0
hmm-gmm,4.611210842897692e-06,0.0
parameter,2.4869611399213597e-05,1.7289336202078455e-05
particularli,0.00014906262483928417,0.00010151336918432345
direct-form,1.252637873568971e-05,5.224997766456957e-05
attenu,0.00047906275538044536,0.00039327546525146426
jean-loup,4.611210842897692e-06,0.0
metod,4.611210842897692e-06,0.0
pre-psd,4.611210842897692e-06,0.0
admittedli,8.58585644676373e-06,1.790664393279279e-05
inhomogen,6.314374340254943e-05,0.0
margarita,4.611210842897692e-06,0.0
phy-astr,4.611210842897692e-06,0.0
unmark,8.987484396158127e-06,0.0
calcbackproject,9.222421685795383e-06,0.0
special,0.00022815973236421576,0.0002265949772595564
rug,4.611210842897692e-06,0.0
bvp,4.611210842897692e-06,0.0
navier-stok,4.611210842897692e-06,0.0
spectrogarm,4.611210842897692e-06,0.0
greater,0.00023674498950120663,0.000329169897505783
tarmac,4.611210842897692e-06,0.0
incred,2.3579916586769594e-05,3.278548256676959e-05
walki,4.611210842897692e-06,0.0
laymen,4.611210842897692e-06,0.0
weaken,1.3231190604601481e-05,0.0
upward,6.473523404985126e-05,1.58837254545475e-05
explod,8.58585644676373e-06,3.581328786558558e-05
though,0.00048624150832365817,0.0004358869165934491
ipython,2.607449524739679e-05,0.0
neuback,9.222421685795383e-06,0.0
bizarr,8.987484396158127e-06,0.0
frighten,4.611210842897692e-06,0.0
glean,8.987484396158127e-06,0.0
numpoint,1.3833632528693078e-05,0.0
non-act,4.611210842897692e-06,0.0
pil,4.611210842897692e-06,0.0
fenc,8.987484396158127e-06,0.0
inter,3.434342578705492e-05,0.0
aliki,4.611210842897692e-06,0.0
complex,0.0013642412797347054,0.0014277041325279117
regular,0.00019669217578843737,0.00021097068851337833
sucess,4.410396868200493e-06,1.839662864406239e-05
comm,1.202630675641829e-05,5.0164079553157386e-05
chi,4.410396868200493e-06,1.839662864406239e-05
ambigu,7.614261141877407e-05,9.074449618679358e-05
mata,4.611210842897692e-06,0.0
heartbeat-rel,4.611210842897692e-06,0.0
blow,1.6838331574013177e-05,1.7558994247557426e-05
workingbuff,4.611210842897692e-06,0.0
huffman,5.472457761554283e-05,0.0
sugest,1.7382996831597857e-05,0.0
punch,1.2276342746054e-05,3.4138019072575656e-05
multidirect,4.292928223381865e-06,3.581328786558558e-05
mercuri,4.611210842897692e-06,0.0
shortest,4.699810355239168e-05,1.633652412443991e-05
north,2.0460571243423333e-05,1.7069009536287828e-05
propos,0.00019116228018751193,0.00013494043359889006
whatsoev,8.184228497369332e-06,5.120702860886348e-05
color-spac,4.611210842897692e-06,0.0
bread,4.611210842897692e-06,0.0
lindenberg,9.222421685795383e-06,0.0
scalabl,1.2628748680509884e-05,1.7558994247557426e-05
parks-mclellan,4.611210842897692e-06,0.0
time-seri,0.0006528090631062679,0.0007020961133057066
san,8.987484396158127e-06,0.0
ecaxt,4.611210842897692e-06,0.0
image-segment,0.00010883586023847506,9.629787087322332e-05
interest,0.000848736022980609,0.0008560426274650135
non-band,4.410396868200493e-06,1.839662864406239e-05
